,Tweets,TBpolarity,Sentiment_type
0,  Say hello to nonstop entertainment and forget a charging your smartphone for up to  hours as the ,0.0,NEUTRAL 
1,  Wish to win a PowerfulAllRounder or a SolidAllRounder Just GuessThePrice of  the AsliAllRounders Contest ,0.8,POSITIVE
2, moto  Power price    nmoto  price      nPowerfulAllRounder SolidAllRounder  GuessThePrice AsliAllRounders Contest  nnn   ,0.0,NEUTRAL 
3, Moto  power       nn nn    ,0.0,NEUTRAL 
4, Video  Moto  Power and Moto   Full Specificationsnn  Techgroom  via ,0.35,POSITIVE
5,  Moto  Power amp Moto  Un And First Impressions   Screen  Battery amp More    ,0.375,POSITIVE
6,    Moto  power  Moto     ,0.0,NEUTRAL 
8,    amp  Prices ,0.0,NEUTRAL 
9,  Feel the freedom to explore more with a powerful  mAh Battery that lasts up to  hours on a single charge quite ,0.24285714285714288,POSITIVE
12,   For Moto  price should   nFor Moto  price should   ,0.0,NEUTRAL 
15,  Moto  power  Moto      n nn  ,0.0,NEUTRAL 
25,  Moto  Power launched in India nn  HD displayn Snapdragon  SoCn  Front n        Rear n ,0.0,NEUTRAL 
30, hello to nonstop entertainment and forget a charging your smartphone for up to  hours as the  massive  mAh Battery comes with   charger Gra the PowerfulAllRounder at  from  Mar  PM on   httpstcoDaiVHmWNqu,0.0,NEUTRAL 
32,  Well now you will know what makes the  truly a PowerfulAllRounder  all its  features Save ,0.0,NEUTRAL 
33,  Click pictureperfect moments with   Quad Camera Get vivid nighttime pictures  ,0.125,POSITIVE
34,  Netizens its time to make the most of every situation with the PowerfulAllRounder Introducing  with a ,0.5,POSITIVE
35, Motorola is  to make a dent in the afforda smartphone segment in India with two new devices  Moto  and Moto  Power Motorola     ,0.13636363636363635,POSITIVE
36,   My guess arenMoto  Power      SolidAllRounder ,0.0,NEUTRAL 
37, httpstcokjHaqwEjoI,0.0,NEUTRAL 
38,   My predictions nMoto  Power                     ,0.0,NEUTRAL 
39,   Moto  power       ,0.0,NEUTRAL 
41,  Heres my entry teamnnMoto  Power      SolidAllRounder GuessThePrice AsliAllRounders Contest   nnJoin n,0.0,NEUTRAL 
44, Heres my entry teamnnMoto  Power      SolidAllRounder GuessThePrice AsliAllRounders Contest   nnJoin n,0.0,NEUTRAL 
45,  GTU NewVideo  video Moto  and  Power  Powerful enough  Un and First ,0.18333333333333335,POSITIVE
48,   I am expecting   Power      ,0.0,NEUTRAL 
49,  You wanted to explore more You got it with  that comes with a  mAh   Quad Camera ,0.5,POSITIVE
51,  Best Grocery Store POS Billing Software in Varanasi nGet  Day Demo TrialnCall us   us  ,1.0,POSITIVE
52, vs  Whats your  ,0.0,NEUTRAL 
54,  Power Price Official Look Design Camera Specifications Features and Sale  Motorola Moto     Power MotorolaMo ,0.0,NEUTRAL 
56, Not To Buy Motorola Moto  Power n     KINGDOM DhoniReturns Odisha   Mahashivratri mirackandili witsprotest GodiMediaAntiFarmer Pakistan KINGDOM  ,0.0,NEUTRAL 
65,  Power launched in India  HD MaxVision  x  PixelsnSnapdragon             audio jacknRearmounted   Tur  Rs  moto motorola ,0.0,NEUTRAL 
66,  ,0.0,NEUTRAL 
67,  launched in India  HD MaxVision  refresh  x  PixelsnSnapdragon       audio jacknRearmounted  mAh  Tur  Rs   moto ,0.0,NEUTRAL 
70, launches Moto  Power and Moto  with  quadcameras in India technews    ,0.0,NEUTRAL 
73, Grocery Store POS Billing Software in Varanasi nGet  Day Demo TrialnCall us   us  infocomngrocery  wednesdaythought  DhoniReturns DidirSatheNandigram Savitri   ,0.0,NEUTRAL 
74,    MoTo  PoWeR    MoTo    nPoWeRFuLALLRoUNDeR ,0.0,NEUTRAL 
80,   sharper with  ,0.0,NEUTRAL 
82,   gtFor Moto  price should   nngtFor Moto  price should  ,0.0,NEUTRAL 
84,    gtFor Moto  price should   nngtFor Moto  price should  ,0.0,NEUTRAL 
86, pictureperfect moments with   Quad Camera Get vivid nighttime pictures  portraits amp incredi detailed closeups with PowerfulAllRounder at just  Availa from  Mar  PM on   ,0.2625,POSITIVE
89, a look at the new ,0.13636363636363635,POSITIVE
92, Moto  power     SolidAllRounder   GuessThePrice AsliAllRounders nn n n,0.0,NEUTRAL 
93, Moto  power     SolidAllRounder   GuessThePrice AsliAllRounders n,0.0,NEUTRAL 
94, For Moto    nFor Moto     nnJoinn n n,0.0,NEUTRAL 
96, all you need to know a the Moto  Power amp Moto  comparison here   Motorola BGRTechReview BGR ,0.0,NEUTRAL 
99, Moto  power     SolidAllRounder   GuessThePrice AsliAllRounders nn nJoin         ,0.0,NEUTRAL 
101,  Moto  Power and Moto  Un and Quick Review   mAh    Motorola ,0.3333333333333333,POSITIVE
102,  Moto  Power and Moto  Un and Quick Review   mAh     Motorola ,0.3333333333333333,POSITIVE
105,  power     SolidAllRounder   GuessThePrice AsliAllRounders nn nJoin          ,0.0,NEUTRAL 
109,  Moto  Power and  launched in India   Motorola tech technews technology nVisit our ,0.0,NEUTRAL 
110,  Power And Moto  Are Launched In India    RR      Android    SD      ,0.0,NEUTRAL 
112, amp  FULL SPecs in   ,0.35,POSITIVE
116,  Power and  launched in India   Motorola tech technews technology nVisit our we at  out our youtu channel at  ,0.0,NEUTRAL 
117, Moto  power      ,0.0,NEUTRAL 
119, Moto  power            nTag friendsn n,0.0,NEUTRAL 
121,   Moto  power      ,0.0,NEUTRAL 
122,   Moto  Power      SolidAllRounder GuessThePrice ,0.0,NEUTRAL 
124, case you missed itnCheck out the new Motorolas in   nhttpstcoMVdzOtlMLm,0.13636363636363635,POSITIVE
128, Moto  power       ,0.0,NEUTRAL 
132,   launched in India for Rs   IPS LCD Displayn  Rear cameran Snapdragon  SoCn ,0.0,NEUTRAL 
135,  Queen responds to Meghan interview Moto  Power amp Moto  review amp why Unilever will remove the word normal from ,0.15,POSITIVE
139,  Moto  Power and Moto  launched in India for INR  and INR  respectively in IndianMotorola ,0.0,NEUTRAL 
140,  The allnew  amp  launched in India at an un pricennBoth smartphones Motorola Moto  ,0.0,NEUTRAL 
142,   My predictions  Moto  Power   Moto     ,0.0,NEUTRAL 
143, responds to Meghan interview Moto  Power amp Moto  review amp why Unilever will remove the word normal from productsnQueenEliza MeghanandHarryonOprah INDvsENG Unilever    ,0.15,POSITIVE
144,     power         ,0.0,NEUTRAL 
145,   and  launched in India Check all details in the link given   ,0.0,NEUTRAL 
146,     Price Is   Price Is  SolidAllRounder ,0.0,NEUTRAL 
147,   Price Is   Price Is  SolidAllRounder nGuessThePrice nAsliAllRounders nContest    n n n n n,0.0,NEUTRAL 
149,  Power and Moto  Launched in India here are the quick specifications and its pricing detailsnnMotorola   Smartphones launched ,0.3333333333333333,POSITIVE
150,  Moto  Power launched in India  HD MaxVision  x  PixelsnSnapdragon        ,0.0,NEUTRAL 
151, Not To Buy Moto  Power       taejin          gold ,0.0,NEUTRAL 
155, launches Moto  Power and Moto  with  quadcameras in India technews    httpstcoMqulNPRawK,0.0,NEUTRAL 
156,  use sAMOLED screens on  phones just like  this is what many of us want with stock Android  nPowerfulAllRounder,0.5,POSITIVE
157,  we LOVE stock Android experience  just put amoled screens on  phones     nSolidAllRounder,0.5,POSITIVE
158, we LOVE stock Android experience  just put amoled screens on  phones    ,0.5,POSITIVE
159, spent some time with the newly released  Heres what  thought a themnn  ,0.018181818181818174,POSITIVE
160, and  launched in India Check all details in the link given   ,0.0,NEUTRAL 
161,  Introducing  the perfect PowerfulAllRounder It comes with a  mAh   Quad Camera ,1.0,POSITIVE
162,  Moto  PowerMoto   Official specification and  power   inr   inch hd display  ,0.0,NEUTRAL 
163,  Motorola  Android TV Stick is launched in India for Rs  nnMotorola   motorolarazr ,0.0,NEUTRAL 
164,  Moto  Power amp Moto  Launching On March  in IndiannMotorola    ,0.0,NEUTRAL 
165,  PowerMoto   Official specification and  power   inr   inch hd display         Sd    inr   inch          Sd    ,0.0,NEUTRAL 
166,  Android TV Stick is launched in India for Rs  nnMotorola   motorolarazr ,0.0,NEUTRAL 
168,      nnPowerfulAllRounder SolidAllRounder  GuessThrPrice AsliAllRounders nJoin n ,0.0,NEUTRAL 
169, Moto  Power       nnPowerfulAllRounder SolidAllRounder GuessThePrice AsliAllRounders ContestnnnJoin  n n nnn,0.0,NEUTRAL 
170,  Power is hereTake a peek at all the details  ,0.0,NEUTRAL 
173,  For Moto    nFor Moto     nJoinn ,0.0,NEUTRAL 
175,   power         nnnTagn   ,0.0,NEUTRAL 
177, For Moto  Power   nFor Moto     nJoin in n  n n n nnn,0.0,NEUTRAL 
179, Moto  Power       SolidAllRounder GuessThePrice AsliAllRounders ContestnnnnTaggednn nnn,0.0,NEUTRAL 
182,   Moto  power       SolidAllRounder   ,0.0,NEUTRAL 
183,   Moto  power       SolidAllRounder  ,0.0,NEUTRAL 
185,  Moto  Power key specifications   quad cameras   gadgets techgadgets gadgetsnews ,0.0,NEUTRAL 
186, nlaunched in India at this pricing amp specificationsnThanks to our tech expert   ,0.0,NEUTRAL 
188,  Wish you could explore more and  nonstop for longer hours Well your wish is our command with the ,0.5,POSITIVE
189,  Power  motoGseries   Android Camera SD  Smartphones,0.0,NEUTRAL 
192, I am expecting   Power      SolidAllRounder GuessThePrice AsliAllRounders Contest   n nTagn n n n n,0.0,NEUTRAL 
194,  Power and Moto  Officially launched in India with QuadCamera setup and  HD display  JustLaunched   Motorola    Motorola News  ,0.0,NEUTRAL 
195,     Rs   Rs  nPowerfulAllRounder SolidAllRounder ,0.0,NEUTRAL 
196,  Power with   and Moto  with   display  quad rear cameras launched in   Motorola ,0.0,NEUTRAL 
198,  Moto  launched in India  HD MaxVision  refresh  x  PixelsnSnapdragon   ,0.0,NEUTRAL 
201, Moto  and Moto  Power Launched in India with  screens  nnLaunches   httpstcovVPZrZUTwS,0.0,NEUTRAL 
202, moto  power        n n,0.0,NEUTRAL 
204,  smartphone   Android SD camera  smartphones moto gadgets,0.0,NEUTRAL 
205,  my entry teamnnMoto  Power      SolidAllRounder GuessThePrice AsliAllRounders Contest   ,0.0,NEUTRAL 
206, Heres my entry teamnnMoto  Power      SolidAllRounder GuessThePrice AsliAllRounders Contest   ,0.0,NEUTRAL 
207, Tech Kha Channel   Power India Launch With  Powerful Battery  Price Display Camera Processor Battery And MorenMotorola    TechKha ,0.3,POSITIVE
208,  Power Launched in  HD  IPS LCD DisplaynSnapdragon  ProcessornQuad Rear Cameras   Battery with  Fast ChargingnRearMounted Fingerprint ScannernStock Android    ,0.2,POSITIVE
209, Moto  power       nnJoinnnnnnnnnnnn,0.0,NEUTRAL 
211,  Power and Moto  Officially launched in India with QuadCamera setup and  HD display  JustLaunched   Motorola    Motorola News   httpstcoXHIUdkQZIO,0.0,NEUTRAL 
212, First     SolidAllRounder GuessThePrice AsliAllRounder Contest   n n  n,0.25,POSITIVE
215, Un and First Impressions nn   via ,0.25,POSITIVE
216,    Moto    nnPowerfulAllRounder SolidAllRounder GuessThePrice AsliAllRounders Contest    n,0.0,NEUTRAL 
217, the  Launched today in  HD IPS TFT     audio   SIM  via   nnMotorola ,0.0,NEUTRAL 
220, For Moto  price should   nFor Moto  price should    nJoinn n,0.0,NEUTRAL 
224, and  launched in India at Rs   via ,0.0,NEUTRAL 
229, TWSPixel  launch DateOPPO  Pro amp ProVivo  on  httpstcoBitvCpAcGh via  tech TechNews technology   nothingtws  Google  ,0.0,NEUTRAL 
231,  Power First Look   Display   mAh  Full Specifications and Price in  httpstco via ,0.3,POSITIVE
233,  and Moto  Power launched in Indiantechdisk Motorola   httpstcoVOlRykjPav,0.0,NEUTRAL 
238,  Power launched in India nn  HD displayn Snapdragon  SoCn  Front n        Rear n  audio jackn Rearmounted FPSn     Tur Android     motorola ,0.0,NEUTRAL 
245, Moto    and Moto     n   ,0.0,NEUTRAL 
246,  has launched in IndiannSpecsn  HD IPS LCDn Snapdragon   Rear Cameran  Selfie cameran   Android  Near to         ,0.1,POSITIVE
248,   nGuessThePrice  nAsliAllRounders        ,0.0,NEUTRAL 
249,   launched in India for Rs  HD IPS LCD   RAM ,0.0,NEUTRAL 
250, Moto  power       nn nnJoinnnn,0.0,NEUTRAL 
255, moto  Power price    nmoto  price      nPowerfulAllRounder SolidAllRounder  GuessThePrice AsliAllRounders Contest  nnTagging n n n n n n,0.0,NEUTRAL 
257, Moto  Power       SolidAllRounder GuessThePrice AsliAllRounders ContestnnnnTaggedn    ,0.0,NEUTRAL 
259,     power expected Price    expected Price    ,-0.1,NEGATIVE
263,  Series Launch Date Apple Spring Event Moto  Power Moto   via     Gaminglaptop    AppleSpringEvent  TechNews TechnicalCharger,0.0,NEUTRAL 
264,  One thing tht is  me is that  Screen even YT doesnt consider now  as HD and  is giving HD screen ,0.0,NEUTRAL 
268, My Guess would   POWER       nPowerfulAllRounder  nnSolidAllRounder GuessThePrice  AsliAllRounders    nnJOIN INn n n,0.0,NEUTRAL 
269, Moto  power       nn nnJoinn n n,0.0,NEUTRAL 
270,  Power and Moto  has  launched in IndiannPricesnnMoto  Power      Rs        Rs   on Instagram for more latest  MotorolaIndia   Technewsdaily ,0.5,POSITIVE
273,  Power And  Launched   Me      nnMotorola Moto MotoIndia MorolaIndia   MotoGSeries MotorolaMo MotorolaIndia Smartphones Mo     ,0.0,NEUTRAL 
274,  Moto  Power Un amp Review  Yeh To Bada Heavy Driver Hai    ,-0.2,NEGATIVE
275,  Moto  Power with Snapdragon  SoC and   launched in India at Rs ,0.0,NEUTRAL 
279, the attached fuel really juggle the creative What if the classy silly ate the mess  ,0.024999999999999988,POSITIVE
285, Moto    and Moto       ,0.0,NEUTRAL 
286, Moto  Power      SolidAllRounder GuessThePrice AsliAllRounders Contest   n     ,0.0,NEUTRAL 
288, Moto  Power and Moto  Goes OFFICIAL Impressive Specifications and Impressive Pricing not to mention theres Stock Android  without any Adware or Bloatware    Motorola ,1.0,POSITIVE
289,   Moto   Rs    Rs   nn ,0.0,NEUTRAL 
292, Moto  Power Mo Phone Price and  Motorola    ,0.0,NEUTRAL 
293,  ABC NewsnFarmers  highways in Spain to protest low food ,0.0,NEUTRAL 
294, and  launched in India Check all details in the link given ,0.0,NEUTRAL 
295,  Power Launched In Indiann  HD IPS  LCD Displayn Snapdragon  n  Rearn  Frontn    Chargingn Rear Fingerprintn Android  Hy SIM slotn  thicknessn     ,0.0,NEUTRAL 
298, PowerfulAllRounder SolidAllRoundernnMoto  Power        n,0.0,NEUTRAL 
299, Heres my entry teamnnMoto  Power      SolidAllRounder GuessThePrice AsliAllRounders Contest   n,0.0,NEUTRAL 
301, nGuessThePrice  nAsliAllRounders        nnPowerfulAllRounder SolidAllRounder nHope guessed the right price  to  luckynJoin friendsnn n n ,0.2857142857142857,POSITIVE
304,  Power amp  launched in India nmotorala    nPRICE        on Flipkart nd other offline online storesnnn      Motorola ,-0.125,NEGATIVE
306,  Moto  power   Moto     SolidAllRounder   GuessThePrice AsliAllRounders Winnern,0.0,NEUTRAL 
310, For Moto  price should   nFor Moto  price should    nnTag    nAll  platforms done nFace Jain Dipti  Djainkhivsra  Djainkhivsra,0.0,NEUTRAL 
311,  Power amp  launched in   Motorola ,0.0,NEUTRAL 
320, moto  Power  First   smartphones    ,0.25,POSITIVE
322, PowerfulAllRounder nSolidAllRounder nAsliAllRounders nnGuessThePrice   nnContest nnThe right prices are   is Rs   is Rs   Fingers crossed for winning  nn n ,0.39285714285714285,POSITIVE
324,           ,0.0,NEUTRAL 
331, Lenovoowned smartphone  Motorola  on Tuesday launched in India the   and  smartphones ,0.0,NEUTRAL 
333, PowerfulAllRounder nSolidAllRounder nAsliAllRounders nnGuessThePrice   nnContest nnThe right prices are   is Rs   is Rs   Fingers crossed for winning  nn n,0.39285714285714285,POSITIVE
334,  Power and Moto  launched in India starting at Rs  Smartphone   motorola ,0.0,NEUTRAL 
336,   power expected Price    expected Price     nnTag    ,-0.1,NEGATIVE
337,   Moto  Power         SolidAllRounder  ,0.0,NEUTRAL 
340,  Moto  Power Launched in IndianFollow  nmotorola moto   phones smartphone gadget newgadget smartgadget techgadget tech techno technology launched  ,0.0,NEUTRAL 
343, MOTO  Power      SolidAllRounder GuessThePrice AsliAllRounders Contest   nnJoin here friendsn  ,0.0,NEUTRAL 
346,  launched in India  HD MaxVision  refresh  x  PixelsnSnapdragon       audio jacknRearmounted  mAh  Tur  Rs   Moto ,0.0,NEUTRAL 
347,  Power amp Moto  Launched in  HD  IPS LCD DisplaynSnapdragon  ProcessornQuad Rear Cameras   Battery with  Fast ChargingnRearMounted Fingerprint ScannernStock Android    httpstcoudoMnjvphs,0.2,POSITIVE
351,   launched another  smartphone  under Rs  in IndiannSpecs   Max Vision HD ,0.0,NEUTRAL 
352,  Alongside   launched at   Max Vision HD IPS LCD  Snapdragon   ,0.0,NEUTRAL 
353,  Among  and   looks  on paper with   Display  main camera ,0.16666666666666666,POSITIVE
354,  and   looks  on paper with   Display  main camera   and an additional microphonennThe price difference   of them comes at Rs  and we think its a no  deciding  the two ,0.16666666666666666,POSITIVE
355, Moto  power       nn ,0.0,NEUTRAL 
356, launched in India for Rs   IPS LCD Displayn  Rear cameran Snapdragon  SoCn  Rear cameran  RAM  Storagen Stock Androidn  with  chargingnnMotorola  httpstcoitNumthjKM,0.0,NEUTRAL 
357,   launched at   Max Vision HD IPS LCD  Snapdragon       Main   UltraWide   Macro      Android      and morennThoughts ,0.16666666666666666,POSITIVE
358, Moto  power      nGuessThePrice nContest nTaggingn  ,0.0,NEUTRAL 
359, Moto  price should   nMoto  price should    nnJoin  ,0.0,NEUTRAL 
360, Moto  Power      SolidAllRounder GuessThePrice AsliAllRounders Contest   ,0.0,NEUTRAL 
363,  MoTo  PoWeR   MoTo    nSoLiDALLRoUNDeR nGuESsThEPRiCe  Friends  n nnnn,0.0,NEUTRAL 
366,   and  have  launched in India Price specifications and  ,0.0,NEUTRAL 
368,  Power is launched with a   and  charging Motorola  httpstcoQQDJkEjaUe,0.0,NEUTRAL 
370, launched another  smartphone  under Rs  in IndiannSpecs   Max Vision HD  Snapdragon      Main   Ultrawide   Macro      Android       ,0.16666666666666666,POSITIVE
371, Moto  power       nnn  n,0.0,NEUTRAL 
372,   Moto  Power       SolidAllRounder ,0.0,NEUTRAL 
373,   Moto  Power        nPowerfulAllRounder ,0.0,NEUTRAL 
374, tangy application occurs into the limping gar The itchy market cant found the anything  httpstcoeaAgEsEg,0.0,NEUTRAL 
377, Moto  Power will go on sale starting March  and the Moto  will go on sale starting March  Both the smartphones will  sold on Flipkartnmoto motorola       ,0.0,NEUTRAL 
380, Moto  power       nn nnn n,0.0,NEUTRAL 
381, new Moto phones that no ones gonna    ,0.13636363636363635,POSITIVE
388,      nPowerfulAllRounder SolidAllRounder n nGuessThrPrice nAsliAllRounders nJoin in guys n n n,0.0,NEUTRAL 
390, latest  phones are here Check out full specifications and features of the phone   ,0.425,POSITIVE
396, Wish to         nn,0.0,NEUTRAL 
397,   Moto  power     nPowerfulAllRounder  ,0.0,NEUTRAL 
398,  Moto  power     nPowerfulAllRounder  ,0.0,NEUTRAL 
399,        PowerfulAllRounder or a SolidAllRounder Just GuessThePrice ,0.0,NEUTRAL 
400,   Moto  power     SolidAllRounder   ,0.0,NEUTRAL 
401, Moto  Power      SolidAllRounder GuessThePrice AsliAllRounders Contest   n nn n n n,0.0,NEUTRAL 
402,   Power Launched In  inch HD Waterdrop Notch     RAM amp   Quad  Selfie      n ,0.0,NEUTRAL 
403,   Rs   Rs  nPowerfulAllRounder SolidAllRounder GuessThePrice AsliAllRounders  nn  n  n n n nn,0.0,NEUTRAL 
405, Moto  power       nn n,0.0,NEUTRAL 
408, Moto  power       nn n n n n n n,0.0,NEUTRAL 
411,  Power  First Impressions   Camera  Battery amp MorennFull  Motorola  newlaunch    WomensDay YoongiDay InternationalWomensDay OprahMeghanHarry XiaoZhan ,0.25,POSITIVE
413, For Moto  price should   nFor Moto  price should    nTagn n,0.0,NEUTRAL 
