Source,Target
AppleSupport,27529216
AppleSupport,432943643
AppleSupport,1182675871
AppleSupport,1091131241510821889
AppleSupport,1119335863610036224
AppleSupport,256326442
AppleSupport,327997037
AppleSupport,1368470919505666050
AppleSupport,1357029267499077633
AppleSupport,1369928128735313925
27529216,34380243
27529216,195396716
27529216,1248996730940448774
27529216,61226587
27529216,1057676041811099648
27529216,145727918
27529216,34380243
27529216,1254784171358056449
27529216,1140777686
27529216,1029479948
432943643,735394065861226496
432943643,2955596087
432943643,101822770
432943643,1131613285252419584
432943643,40156330
432943643,4402434081
432943643,145727918
432943643,55526759
432943643,200077855
432943643,3171574092
1182675871,53832029
1182675871,148529707
1182675871,23245909
1182675871,932085767131758592
1182675871,295652956
1182675871,145727918
1182675871,1091351572460777473
1182675871,1369872278268354561
1182675871,1341549171262726144
1182675871,197403649
1091131241510821889,357916689
1091131241510821889,82652901
1091131241510821889,425079807
1091131241510821889,225736850
1091131241510821889,145727918
1091131241510821889,520920448
1091131241510821889,1283594005473906689
1119335863610036224,145727918
1119335863610036224,1369896586252275714
1119335863610036224,30879764
1119335863610036224,1369880599213731842
1119335863610036224,75646362
327997037,428333
327997037,17000457
327997037,1367531
327997037,74286565
327997037,3309375033
1368470919505666050,1636590253
1368470919505666050,3257608936
1368470919505666050,3309375033
1368470919505666050,74580436
1368470919505666050,1111766238093406208
1368470919505666050,941365410
1368470919505666050,2196791083
1368470919505666050,862756214
1368470919505666050,292370886
1368470919505666050,1356610247935295495
1357029267499077633,3309375033
1357029267499077633,180951007
1357029267499077633,281892256
1357029267499077633,90976827
1357029267499077633,189258194
1357029267499077633,1367811320171687939
1357029267499077633,1366637797172531200
1357029267499077633,1366297967745982466
1357029267499077633,180951007
1357029267499077633,1304951540835328004
1369928128735313925,141627220
1369928128735313925,2775998016
1369928128735313925,1183698123719200768
1369928128735313925,49616273
1369928128735313925,487118986
